i,j,mocoeff
0,0,  9.843523592158e-01
0,1,  1.762101385110e-01
0,2,  0.000000000000e+00
0,3,  0.000000000000e+00
0,4,  0.000000000000e+00
0,5, -4.095908572260e-04
0,6,  0.000000000000e+00
0,7,  0.000000000000e+00
0,8,  0.000000000000e+00
0,9,  6.603050523564e-04
0,10,  0.000000000000e+00
0,11,  0.000000000000e+00
0,12,  0.000000000000e+00
0,13,  0.000000000000e+00
0,14,  0.000000000000e+00
0,15,  0.000000000000e+00
0,16,  0.000000000000e+00
0,17,  0.000000000000e+00
0,18, -8.297069941479e-03
0,19,  0.000000000000e+00
0,20,  0.000000000000e+00
0,21,  0.000000000000e+00
0,22,  0.000000000000e+00
0,23,  0.000000000000e+00
0,24,  0.000000000000e+00
0,25,  0.000000000000e+00
0,26,  0.000000000000e+00
0,27, -5.532338314034e-02
0,28,  0.000000000000e+00
0,29,  0.000000000000e+00
0,30,  0.000000000000e+00
0,31,  0.000000000000e+00
0,32,  0.000000000000e+00
0,33,  0.000000000000e+00
0,34,  0.000000000000e+00
0,35,  0.000000000000e+00
0,36,  0.000000000000e+00
0,37,  0.000000000000e+00
0,38,  0.000000000000e+00
0,39,  0.000000000000e+00
0,40,  0.000000000000e+00
0,41,  0.000000000000e+00
0,42,  0.000000000000e+00
0,43,  0.000000000000e+00
0,44,  0.000000000000e+00
0,45,  0.000000000000e+00
0,46, -8.112090461849e-02
0,47,  0.000000000000e+00
0,48,  0.000000000000e+00
0,49,  0.000000000000e+00
0,50,  0.000000000000e+00
0,51,  0.000000000000e+00
0,52,  0.000000000000e+00
0,53,  0.000000000000e+00
0,54,  0.000000000000e+00
0,55,  0.000000000000e+00
0,56,  0.000000000000e+00
0,57,  0.000000000000e+00
0,58,  0.000000000000e+00
1,0, -1.762082533846e-01
1,1,  9.843556031668e-01
1,2,  0.000000000000e+00
1,3,  0.000000000000e+00
1,4,  0.000000000000e+00
1,5, -4.938079703928e-03
1,6,  0.000000000000e+00
1,7,  0.000000000000e+00
1,8,  0.000000000000e+00
1,9,  2.027788366061e-03
1,10,  0.000000000000e+00
1,11,  0.000000000000e+00
1,12,  0.000000000000e+00
1,13,  0.000000000000e+00
1,14,  0.000000000000e+00
1,15,  0.000000000000e+00
1,16,  0.000000000000e+00
1,17,  0.000000000000e+00
1,18, -2.490720432093e-02
1,19,  0.000000000000e+00
1,20,  0.000000000000e+00
1,21,  0.000000000000e+00
1,22,  0.000000000000e+00
1,23,  0.000000000000e+00
1,24,  0.000000000000e+00
1,25,  0.000000000000e+00
1,26,  0.000000000000e+00
1,27, -1.665024997142e-01
1,28,  0.000000000000e+00
1,29,  0.000000000000e+00
1,30,  0.000000000000e+00
1,31,  0.000000000000e+00
1,32,  0.000000000000e+00
1,33,  0.000000000000e+00
1,34,  0.000000000000e+00
1,35,  0.000000000000e+00
1,36,  0.000000000000e+00
1,37,  0.000000000000e+00
1,38,  0.000000000000e+00
1,39,  0.000000000000e+00
1,40,  0.000000000000e+00
1,41,  0.000000000000e+00
1,42,  0.000000000000e+00
1,43,  0.000000000000e+00
1,44,  0.000000000000e+00
1,45,  0.000000000000e+00
1,46, -2.441866556037e-01
1,47,  0.000000000000e+00
1,48,  0.000000000000e+00
1,49,  0.000000000000e+00
1,50,  0.000000000000e+00
1,51,  0.000000000000e+00
1,52,  0.000000000000e+00
1,53,  0.000000000000e+00
1,54,  0.000000000000e+00
1,55,  0.000000000000e+00
1,56,  0.000000000000e+00
1,57,  0.000000000000e+00
1,58,  0.000000000000e+00
2,0, -4.246652149531e-04
2,1,  5.369921647394e-03
2,2,  0.000000000000e+00
2,3,  0.000000000000e+00
2,4,  0.000000000000e+00
2,5,  1.001159079673e+00
2,6,  0.000000000000e+00
2,7,  0.000000000000e+00
2,8,  0.000000000000e+00
2,9,  1.577534261931e-02
2,10,  0.000000000000e+00
2,11,  0.000000000000e+00
2,12,  0.000000000000e+00
2,13,  0.000000000000e+00
2,14,  0.000000000000e+00
2,15,  0.000000000000e+00
2,16,  0.000000000000e+00
2,17,  0.000000000000e+00
2,18, -1.181990252191e-01
2,19,  0.000000000000e+00
2,20,  0.000000000000e+00
2,21,  0.000000000000e+00
2,22,  0.000000000000e+00
2,23,  0.000000000000e+00
2,24,  0.000000000000e+00
2,25,  0.000000000000e+00
2,26,  0.000000000000e+00
2,27, -8.412465290580e-01
2,28,  0.000000000000e+00
2,29,  0.000000000000e+00
2,30,  0.000000000000e+00
2,31,  0.000000000000e+00
2,32,  0.000000000000e+00
2,33,  0.000000000000e+00
2,34,  0.000000000000e+00
2,35,  0.000000000000e+00
2,36,  0.000000000000e+00
2,37,  0.000000000000e+00
2,38,  0.000000000000e+00
2,39,  0.000000000000e+00
2,40,  0.000000000000e+00
2,41,  0.000000000000e+00
2,42,  0.000000000000e+00
2,43,  0.000000000000e+00
2,44,  0.000000000000e+00
2,45,  0.000000000000e+00
2,46, -1.233447653468e+00
2,47,  0.000000000000e+00
2,48,  0.000000000000e+00
2,49,  0.000000000000e+00
2,50,  0.000000000000e+00
2,51,  0.000000000000e+00
2,52,  0.000000000000e+00
2,53,  0.000000000000e+00
2,54,  0.000000000000e+00
2,55,  0.000000000000e+00
2,56,  0.000000000000e+00
2,57,  0.000000000000e+00
2,58,  0.000000000000e+00
3,0, -3.897395328102e-05
3,1,  1.022442384402e-04
3,2,  0.000000000000e+00
3,3,  0.000000000000e+00
3,4,  0.000000000000e+00
3,5,  1.352472116732e-03
3,6,  0.000000000000e+00
3,7,  0.000000000000e+00
3,8,  0.000000000000e+00
3,9,  7.850770696745e-01
3,10,  0.000000000000e+00
3,11,  0.000000000000e+00
3,12,  0.000000000000e+00
3,13,  0.000000000000e+00
3,14,  0.000000000000e+00
3,15,  0.000000000000e+00
3,16,  0.000000000000e+00
3,17,  0.000000000000e+00
3,18, -1.042401306050e-01
3,19,  0.000000000000e+00
3,20,  0.000000000000e+00
3,21,  0.000000000000e+00
3,22,  0.000000000000e+00
3,23,  0.000000000000e+00
3,24,  0.000000000000e+00
3,25,  0.000000000000e+00
3,26,  0.000000000000e+00
3,27, -2.510096787812e+00
3,28,  0.000000000000e+00
3,29,  0.000000000000e+00
3,30,  0.000000000000e+00
3,31,  0.000000000000e+00
3,32,  0.000000000000e+00
3,33,  0.000000000000e+00
3,34,  0.000000000000e+00
3,35,  0.000000000000e+00
3,36,  0.000000000000e+00
3,37,  0.000000000000e+00
3,38,  0.000000000000e+00
3,39,  0.000000000000e+00
3,40,  0.000000000000e+00
3,41,  0.000000000000e+00
3,42,  0.000000000000e+00
3,43,  0.000000000000e+00
3,44,  0.000000000000e+00
3,45,  0.000000000000e+00
3,46, -3.883527513003e+00
3,47,  0.000000000000e+00
3,48,  0.000000000000e+00
3,49,  0.000000000000e+00
3,50,  0.000000000000e+00
3,51,  0.000000000000e+00
3,52,  0.000000000000e+00
3,53,  0.000000000000e+00
3,54,  0.000000000000e+00
3,55,  0.000000000000e+00
3,56,  0.000000000000e+00
3,57,  0.000000000000e+00
3,58,  0.000000000000e+00
4,0,  1.643756140998e-05
4,1, -9.857758873958e-05
4,2,  0.000000000000e+00
4,3,  0.000000000000e+00
4,4,  0.000000000000e+00
4,5, -5.733722649598e-03
4,6,  0.000000000000e+00
4,7,  0.000000000000e+00
4,8,  0.000000000000e+00
4,9,  1.229908213275e-02
4,10,  0.000000000000e+00
4,11,  0.000000000000e+00
4,12,  0.000000000000e+00
4,13,  0.000000000000e+00
4,14,  0.000000000000e+00
4,15,  0.000000000000e+00
4,16,  0.000000000000e+00
4,17,  0.000000000000e+00
4,18,  3.474036000096e-02
4,19,  0.000000000000e+00
4,20,  0.000000000000e+00
4,21,  0.000000000000e+00
4,22,  0.000000000000e+00
4,23,  0.000000000000e+00
4,24,  0.000000000000e+00
4,25,  0.000000000000e+00
4,26,  0.000000000000e+00
4,27,  1.342633820224e-01
4,28,  0.000000000000e+00
4,29,  0.000000000000e+00
4,30,  0.000000000000e+00
