i,j,mocoeff
0,0,  5.876531499345e-01
0,1,  1.240151458036e+00
0,2,  0.000000000000e+00
0,3,  0.000000000000e+00
0,4,  0.000000000000e+00
1,0,  5.012231097149e-01
1,1, -1.277531705197e+00
1,2,  0.000000000000e+00
1,3,  0.000000000000e+00
1,4,  0.000000000000e+00
2,0,  0.000000000000e+00
2,1,  0.000000000000e+00
2,2,  0.000000000000e+00
2,3,  0.000000000000e+00
2,4,  1.000000000000e+00
3,0,  0.000000000000e+00
3,1,  0.000000000000e+00
3,2,  1.000000000000e+00
3,3,  0.000000000000e+00
3,4,  0.000000000000e+00
4,0,  0.000000000000e+00
4,1,  0.000000000000e+00
4,2,  0.000000000000e+00
4,3,  1.000000000000e+00
4,4,  0.000000000000e+00
