i,j,mocoeff
0,0,  1.000025549623e+00
0,1, -2.706039600544e-04
0,2,  0.000000000000e+00
0,3,  0.000000000000e+00
0,4,  0.000000000000e+00
0,5,  7.548438770684e-04
0,6,  0.000000000000e+00
0,7,  0.000000000000e+00
0,8,  0.000000000000e+00
0,9,  0.000000000000e+00
0,10,  0.000000000000e+00
0,11,  0.000000000000e+00
0,12, -1.983019513744e-02
0,13,  0.000000000000e+00
0,14,  0.000000000000e+00
0,15,  0.000000000000e+00
0,16,  0.000000000000e+00
0,17,  0.000000000000e+00
0,18,  0.000000000000e+00
0,19,  0.000000000000e+00
0,20,  0.000000000000e+00
0,21, -2.087675545521e-01
0,22,  0.000000000000e+00
0,23,  0.000000000000e+00
0,24,  0.000000000000e+00
0,25,  0.000000000000e+00
0,26,  0.000000000000e+00
1,0,  7.680167588953e-05
1,1, -1.004909550125e+00
1,2,  0.000000000000e+00
1,3,  0.000000000000e+00
1,4,  0.000000000000e+00
1,5,  5.477508903134e-03
1,6,  0.000000000000e+00
1,7,  0.000000000000e+00
1,8,  0.000000000000e+00
1,9,  0.000000000000e+00
1,10,  0.000000000000e+00
1,11,  0.000000000000e+00
1,12, -1.319642642695e-01
1,13,  0.000000000000e+00
1,14,  0.000000000000e+00
1,15,  0.000000000000e+00
1,16,  0.000000000000e+00
1,17,  0.000000000000e+00
1,18,  0.000000000000e+00
1,19,  0.000000000000e+00
1,20,  0.000000000000e+00
1,21, -1.541114406701e+00
1,22,  0.000000000000e+00
1,23,  0.000000000000e+00
1,24,  0.000000000000e+00
1,25,  0.000000000000e+00
1,26,  0.000000000000e+00
2,0,  9.497043260120e-05
2,1, -2.614131556895e-03
2,2,  0.000000000000e+00
2,3,  0.000000000000e+00
2,4,  0.000000000000e+00
2,5,  5.542508002104e-01
2,6,  0.000000000000e+00
2,7,  0.000000000000e+00
2,8,  0.000000000000e+00
2,9,  0.000000000000e+00
2,10,  0.000000000000e+00
2,11,  0.000000000000e+00
2,12,  1.687455949609e-02
2,13,  0.000000000000e+00
2,14,  0.000000000000e+00
2,15,  0.000000000000e+00
2,16,  0.000000000000e+00
2,17,  0.000000000000e+00
2,18,  0.000000000000e+00
2,19,  0.000000000000e+00
2,20,  0.000000000000e+00
2,21, -2.295418848968e+00
2,22,  0.000000000000e+00
2,23,  0.000000000000e+00
2,24,  0.000000000000e+00
2,25,  0.000000000000e+00
2,26,  0.000000000000e+00
3,0, -5.841317426561e-04
3,1,  1.487581807652e-02
3,2,  0.000000000000e+00
3,3,  0.000000000000e+00
3,4,  0.000000000000e+00
3,5,  5.339420630665e-01
3,6,  0.000000000000e+00
3,7,  0.000000000000e+00
